borocode,borough,tree species,steward,tree count,count_health_good,count_health_fair,count_health_poor,good,fair,poor,spccode
5,Staten Island,bald cypress,3or4,3,3,0,0,100.0,0.0,0.0,117
1,Manhattan,sweetgum,4orMore,1,1,0,0,100.0,0.0,0.0,118
1,Manhattan,sweetgum,None,113,66,28,19,58.41,24.78,16.81,118
1,Manhattan,sweetgum,1or2,85,63,15,7,74.12,17.65,8.24,118
1,Manhattan,sweetgum,3or4,28,21,7,0,75.0,25.0,0.0,118
2,Bronx,sweetgum,None,679,614,49,16,90.43,7.22,2.36,118
2,Bronx,sweetgum,3or4,15,13,1,1,86.67,6.67,6.67,118
2,Bronx,sweetgum,1or2,209,190,19,0,90.91,9.09,0.0,118
2,Bronx,sweetgum,4orMore,1,1,0,0,100.0,0.0,0.0,118
3,Brooklyn,sweetgum,3or4,111,102,9,0,91.89,8.11,0.0,118
3,Brooklyn,sweetgum,4orMore,7,6,1,0,85.71,14.29,0.0,118
3,Brooklyn,sweetgum,None,1181,1022,124,35,86.54,10.5,2.96,118
3,Brooklyn,sweetgum,1or2,728,608,96,24,83.52,13.19,3.3,118
4,Queens,sweetgum,3or4,33,23,10,0,69.7,30.3,0.0,118
4,Queens,sweetgum,None,1969,1778,165,26,90.3,8.38,1.32,118
4,Queens,sweetgum,1or2,482,406,51,25,84.23,10.58,5.19,118
4,Queens,sweetgum,4orMore,5,5,0,0,100.0,0.0,0.0,118
5,Staten Island,sweetgum,3or4,65,59,5,1,90.77,7.69,1.54,118
5,Staten Island,sweetgum,1or2,741,608,109,24,82.05,14.71,3.24,118
5,Staten Island,sweetgum,4orMore,2,1,1,0,50.0,50.0,0.0,118
5,Staten Island,sweetgum,None,4202,3496,581,125,83.2,13.83,2.97,118
1,Manhattan,golden raintree,3or4,38,33,5,0,86.84,13.16,0.0,119
1,Manhattan,golden raintree,None,196,171,21,4,87.24,10.71,2.04,119
1,Manhattan,golden raintree,4orMore,1,1,0,0,100.0,0.0,0.0,119
1,Manhattan,golden raintree,1or2,124,113,8,3,91.13,6.45,2.42,119
2,Bronx,golden raintree,3or4,3,2,1,0,66.67,33.33,0.0,119
2,Bronx,golden raintree,None,359,296,49,14,82.45,13.65,3.9,119
2,Bronx,golden raintree,4orMore,1,1,0,0,100.0,0.0,0.0,119
2,Bronx,golden raintree,1or2,155,124,26,5,80.0,16.77,3.23,119
3,Brooklyn,golden raintree,3or4,29,27,2,0,93.1,6.9,0.0,119
3,Brooklyn,golden raintree,None,605,494,89,22,81.65,14.71,3.64,119
3,Brooklyn,golden raintree,4orMore,6,5,1,0,83.33,16.67,0.0,119
3,Brooklyn,golden raintree,1or2,301,249,48,4,82.72,15.95,1.33,119
4,Queens,golden raintree,None,959,820,111,28,85.51,11.57,2.92,119
4,Queens,golden raintree,3or4,25,22,2,1,88.0,8.0,4.0,119
4,Queens,golden raintree,1or2,320,241,58,21,75.31,18.12,6.56,119
5,Staten Island,golden raintree,3or4,3,1,2,0,33.33,66.67,0.0,119
5,Staten Island,golden raintree,1or2,138,125,12,1,90.58,8.7,0.72,119
5,Staten Island,golden raintree,None,456,374,65,17,82.02,14.25,3.73,119
1,Manhattan,tulip-poplar,1or2,9,5,3,1,55.56,33.33,11.11,120
1,Manhattan,tulip-poplar,None,25,12,7,6,48.0,28.0,24.0,120
2,Bronx,tulip-poplar,None,54,33,9,12,61.11,16.67,22.22,120
2,Bronx,tulip-poplar,1or2,8,4,2,2,50.0,25.0,25.0,120
3,Brooklyn,tulip-poplar,None,194,125,47,22,64.43,24.23,11.34,120
3,Brooklyn,tulip-poplar,3or4,13,10,2,1,76.92,15.38,7.69,120
3,Brooklyn,tulip-poplar,1or2,68,52,14,2,76.47,20.59,2.94,120
4,Queens,tulip-poplar,4orMore,1,1,0,0,100.0,0.0,0.0,120
4,Queens,tulip-poplar,None,388,306,64,18,78.87,16.49,4.64,120
4,Queens,tulip-poplar,1or2,97,82,11,4,84.54,11.34,4.12,120
4,Queens,tulip-poplar,3or4,3,3,0,0,100.0,0.0,0.0,120
5,Staten Island,tulip-poplar,None,169,135,34,0,79.88,20.12,0.0,120
5,Staten Island,tulip-poplar,1or2,46,33,11,2,71.74,23.91,4.35,120
5,Staten Island,tulip-poplar,3or4,1,1,0,0,100.0,0.0,0.0,120
1,Manhattan,cucumber magnolia,None,11,6,3,2,54.55,27.27,18.18,121
1,Manhattan,cucumber magnolia,1or2,1,0,1,0,0.0,100.0,0.0,121
2,Bronx,cucumber magnolia,1or2,4,2,1,1,50.0,25.0,25.0,121
2,Bronx,cucumber magnolia,None,15,14,0,1,93.33,0.0,6.67,121
3,Brooklyn,cucumber magnolia,3or4,1,0,1,0,0.0,100.0,0.0,121
3,Brooklyn,cucumber magnolia,None,29,26,1,2,89.66,3.45,6.9,121
3,Brooklyn,cucumber magnolia,4orMore,1,1,0,0,100.0,0.0,0.0,121
3,Brooklyn,cucumber magnolia,1or2,17,15,0,2,88.24,0.0,11.76,121
4,Queens,cucumber magnolia,1or2,11,10,0,1,90.91,0.0,9.09,121
4,Queens,cucumber magnolia,3or4,2,2,0,0,100.0,0.0,0.0,121
4,Queens,cucumber magnolia,None,39,32,6,1,82.05,15.38,2.56,121
5,Staten Island,cucumber magnolia,3or4,2,2,0,0,100.0,0.0,0.0,121
5,Staten Island,cucumber magnolia,1or2,2,1,0,1,50.0,0.0,50.0,121
5,Staten Island,cucumber magnolia,None,34,31,2,1,91.18,5.88,2.94,121
1,Manhattan,Chinese tree lilac,None,8,5,2,1,62.5,25.0,12.5,122
2,Bronx,Chinese tree lilac,1or2,19,14,5,0,73.68,26.32,0.0,122
2,Bronx,Chinese tree lilac,4orMore,1,0,1,0,0.0,100.0,0.0,122
2,Bronx,Chinese tree lilac,None,33,20,9,4,60.61,27.27,12.12,122
3,Brooklyn,Chinese tree lilac,None,53,37,15,1,69.81,28.3,1.89,122
3,Brooklyn,Chinese tree lilac,1or2,37,29,5,3,78.38,13.51,8.11,122
3,Brooklyn,Chinese tree lilac,3or4,1,1,0,0,100.0,0.0,0.0,122
4,Queens,Chinese tree lilac,1or2,92,79,11,2,85.87,11.96,2.17,122
4,Queens,Chinese tree lilac,3or4,4,3,1,0,75.0,25.0,0.0,122
4,Queens,Chinese tree lilac,None,108,98,8,2,90.74,7.41,1.85,122
5,Staten Island,Chinese tree lilac,3or4,2,2,0,0,100.0,0.0,0.0,122
5,Staten Island,Chinese tree lilac,1or2,32,24,7,1,75.0,21.88,3.12,122
5,Staten Island,Chinese tree lilac,None,72,62,8,2,86.11,11.11,2.78,122
1,Manhattan,boxelder,3or4,2,0,1,1,0.0,50.0,50.0,123
2,Bronx,boxelder,1or2,1,1,0,0,100.0,0.0,0.0,123
2,Bronx,boxelder,None,16,15,0,1,93.75,0.0,6.25,123
3,Brooklyn,boxelder,None,6,4,1,1,66.67,16.67,16.67,123
3,Brooklyn,boxelder,1or2,8,6,1,1,75.0,12.5,12.5,123
4,Queens,boxelder,None,10,8,2,0,80.0,20.0,0.0,123
4,Queens,boxelder,3or4,1,1,0,0,100.0,0.0,0.0,123
4,Queens,boxelder,1or2,4,2,1,1,50.0,25.0,25.0,123
5,Staten Island,boxelder,1or2,1,1,0,0,100.0,0.0,0.0,123
5,Staten Island,boxelder,None,15,8,6,1,53.33,40.0,6.67,123
1,Manhattan,red pine,None,1,1,0,0,100.0,0.0,0.0,124
2,Bronx,red pine,None,9,8,1,0,88.89,11.11,0.0,124
2,Bronx,red pine,1or2,1,1,0,0,100.0,0.0,0.0,124
3,Brooklyn,red pine,None,21,20,1,0,95.24,4.76,0.0,124
3,Brooklyn,red pine,1or2,4,3,1,0,75.0,25.0,0.0,124
3,Brooklyn,red pine,3or4,1,1,0,0,100.0,0.0,0.0,124
4,Queens,red pine,1or2,5,4,0,1,80.0,0.0,20.0,124
4,Queens,red pine,None,47,41,6,0,87.23,12.77,0.0,124
5,Staten Island,red pine,3or4,1,1,0,0,100.0,0.0,0.0,124
5,Staten Island,red pine,None,14,14,0,0,100.0,0.0,0.0,124
5,Staten Island,red pine,1or2,2,1,1,0,50.0,50.0,0.0,124
1,Manhattan,Douglas-fir,1or2,2,0,2,0,0.0,100.0,0.0,125
2,Bronx,Douglas-fir,None,4,4,0,0,100.0,0.0,0.0,125
2,Bronx,Douglas-fir,1or2,3,3,0,0,100.0,0.0,0.0,125
2,Bronx,Douglas-fir,3or4,1,1,0,0,100.0,0.0,0.0,125
3,Brooklyn,Douglas-fir,3or4,1,1,0,0,100.0,0.0,0.0,125
3,Brooklyn,Douglas-fir,None,16,15,1,0,93.75,6.25,0.0,125
3,Brooklyn,Douglas-fir,1or2,13,11,2,0,84.62,15.38,0.0,125
4,Queens,Douglas-fir,1or2,14,14,0,0,100.0,0.0,0.0,125
4,Queens,Douglas-fir,4orMore,1,1,0,0,100.0,0.0,0.0,125
4,Queens,Douglas-fir,None,21,15,4,2,71.43,19.05,9.52,125
4,Queens,Douglas-fir,3or4,1,1,0,0,100.0,0.0,0.0,125
5,Staten Island,Douglas-fir,1or2,2,1,1,0,50.0,50.0,0.0,125
5,Staten Island,Douglas-fir,None,6,6,0,0,100.0,0.0,0.0,125
1,Manhattan,European alder,None,2,0,1,1,0.0,50.0,50.0,126
2,Bronx,European alder,1or2,1,1,0,0,100.0,0.0,0.0,126
2,Bronx,European alder,None,5,3,2,0,60.0,40.0,0.0,126
3,Brooklyn,European alder,None,3,2,1,0,66.67,33.33,0.0,126
3,Brooklyn,European alder,4orMore,1,1,0,0,100.0,0.0,0.0,126
3,Brooklyn,European alder,1or2,4,4,0,0,100.0,0.0,0.0,126
3,Brooklyn,European alder,3or4,2,1,1,0,50.0,50.0,0.0,126
4,Queens,European alder,1or2,2,2,0,0,100.0,0.0,0.0,126
4,Queens,European alder,None,15,10,5,0,66.67,33.33,0.0,126
5,Staten Island,European alder,None,10,6,4,0,60.0,40.0,0.0,126
5,Staten Island,European alder,1or2,2,2,0,0,100.0,0.0,0.0,126
1,Manhattan,blue spruce,1or2,4,4,0,0,100.0,0.0,0.0,127
2,Bronx,blue spruce,1or2,2,2,0,0,100.0,0.0,0.0,127
2,Bronx,blue spruce,None,11,11,0,0,100.0,0.0,0.0,127
2,Bronx,blue spruce,3or4,3,3,0,0,100.0,0.0,0.0,127
3,Brooklyn,blue spruce,None,9,5,3,1,55.56,33.33,11.11,127
3,Brooklyn,blue spruce,1or2,7,7,0,0,100.0,0.0,0.0,127
3,Brooklyn,blue spruce,3or4,3,3,0,0,100.0,0.0,0.0,127
4,Queens,blue spruce,4orMore,3,3,0,0,100.0,0.0,0.0,127
4,Queens,blue spruce,3or4,3,2,1,0,66.67,33.33,0.0,127
4,Queens,blue spruce,1or2,18,12,3,3,66.67,16.67,16.67,127
4,Queens,blue spruce,None,37,30,6,1,81.08,16.22,2.7,127
5,Staten Island,blue spruce,4orMore,1,0,1,0,0.0,100.0,0.0,127
5,Staten Island,blue spruce,None,14,11,3,0,78.57,21.43,0.0,127
5,Staten Island,blue spruce,1or2,11,11,0,0,100.0,0.0,0.0,127
1,Manhattan,Atlantic white cedar,None,12,7,5,0,58.33,41.67,0.0,128
2,Bronx,Atlantic white cedar,4orMore,1,1,0,0,100.0,0.0,0.0,128
2,Bronx,Atlantic white cedar,None,39,36,3,0,92.31,7.69,0.0,128
2,Bronx,Atlantic white cedar,1or2,11,9,2,0,81.82,18.18,0.0,128
2,Bronx,Atlantic white cedar,3or4,2,2,0,0,100.0,0.0,0.0,128
3,Brooklyn,Atlantic white cedar,3or4,4,4,0,0,100.0,0.0,0.0,128
3,Brooklyn,Atlantic white cedar,None,58,45,11,2,77.59,18.97,3.45,128
3,Brooklyn,Atlantic white cedar,1or2,33,27,5,1,81.82,15.15,3.03,128
4,Queens,Atlantic white cedar,None,89,73,13,3,82.02,14.61,3.37,128
4,Queens,Atlantic white cedar,3or4,12,10,2,0,83.33,16.67,0.0,128
4,Queens,Atlantic white cedar,1or2,32,25,3,4,78.12,9.38,12.5,128
5,Staten Island,Atlantic white cedar,None,36,14,9,13,38.89,25.0,36.11,128
5,Staten Island,Atlantic white cedar,3or4,1,1,0,0,100.0,0.0,0.0,128
5,Staten Island,Atlantic white cedar,1or2,25,9,7,9,36.0,28.0,36.0,128
2,Bronx,false cypress,None,8,7,0,1,87.5,0.0,12.5,129
2,Bronx,false cypress,3or4,1,1,0,0,100.0,0.0,0.0,129
2,Bronx,false cypress,1or2,4,4,0,0,100.0,0.0,0.0,129
3,Brooklyn,false cypress,3or4,1,1,0,0,100.0,0.0,0.0,129
3,Brooklyn,false cypress,1or2,16,14,1,1,87.5,6.25,6.25,129
3,Brooklyn,false cypress,None,18,16,2,0,88.89,11.11,0.0,129
4,Queens,false cypress,None,27,25,2,0,92.59,7.41,0.0,129
4,Queens,false cypress,1or2,19,17,2,0,89.47,10.53,0.0,129
4,Queens,false cypress,3or4,5,4,1,0,80.0,20.0,0.0,129
5,Staten Island,false cypress,1or2,4,4,0,0,100.0,0.0,0.0,129
5,Staten Island,false cypress,None,5,4,1,0,80.0,20.0,0.0,129
2,Bronx,Shantung maple,1or2,5,4,1,0,80.0,20.0,0.0,130
2,Bronx,Shantung maple,None,4,3,1,0,75.0,25.0,0.0,130
3,Brooklyn,Shantung maple,None,7,6,1,0,85.71,14.29,0.0,130
3,Brooklyn,Shantung maple,1or2,5,4,0,1,80.0,0.0,20.0,130
4,Queens,Shantung maple,None,21,19,1,1,90.48,4.76,4.76,130
4,Queens,Shantung maple,4orMore,1,1,0,0,100.0,0.0,0.0,130
4,Queens,Shantung maple,1or2,5,3,1,1,60.0,20.0,20.0,130
5,Staten Island,Shantung maple,1or2,3,2,1,0,66.67,33.33,0.0,130
5,Staten Island,Shantung maple,None,8,5,1,2,62.5,12.5,25.0,130
2,Bronx,Atlas cedar,None,3,3,0,0,100.0,0.0,0.0,131
2,Bronx,Atlas cedar,1or2,3,3,0,0,100.0,0.0,0.0,131
3,Brooklyn,Atlas cedar,1or2,14,13,1,0,92.86,7.14,0.0,131
3,Brooklyn,Atlas cedar,None,20,16,4,0,80.0,20.0,0.0,131
4,Queens,Atlas cedar,3or4,2,2,0,0,100.0,0.0,0.0,131
4,Queens,Atlas cedar,1or2,11,10,1,0,90.91,9.09,0.0,131
4,Queens,Atlas cedar,None,26,23,3,0,88.46,11.54,0.0,131
5,Staten Island,Atlas cedar,3or4,1,1,0,0,100.0,0.0,0.0,131
5,Staten Island,Atlas cedar,None,4,3,0,1,75.0,0.0,25.0,131
5,Staten Island,Atlas cedar,1or2,3,3,0,0,100.0,0.0,0.0,131
2,Bronx,trident maple,1or2,7,7,0,0,100.0,0.0,0.0,132
3,Brooklyn,trident maple,None,11,9,2,0,81.82,18.18,0.0,132
3,Brooklyn,trident maple,1or2,1,1,0,0,100.0,0.0,0.0,132
4,Queens,trident maple,1or2,20,14,5,1,70.0,25.0,5.0,132
4,Queens,trident maple,None,48,36,10,2,75.0,20.83,4.17,132
5,Staten Island,trident maple,None,19,17,2,0,89.47,10.53,0.0,132
5,Staten Island,trident maple,1or2,4,3,1,0,75.0,25.0,0.0,132
